year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1980,Asia,"3,22,23,395","7,07,91,416","20,68,207","51,98,237","4,44,43,249","15,47,24,504",0,0,0,"96,410","96,410","9,13,24,970","23,46,390",0,0,0,"1,44,000","18,97,11,767","28,35,27,127",0,"3,04,00,850","26,52,17,256","29,56,18,106","1,60,982","53,42,85,058","1,40,23,819","8,94,29,228","16,22,880","37,48,065","32,06,898","54,55,525","38,88,06,341","9,51,88,371","50,74,13,215","1,00,74,959","1,87,99,68,273","2,31,35,47,024","4,41,30,00,000",1.1
1980,Europe,"8,45,45,280","25,92,60,904","11,05,95,090","2,76,91,350","1,49,47,256","49,70,39,880",0,0,0,"45,27,066","45,27,066",0,0,0,0,0,"14,540","4,05,97,297","4,06,11,837",0,0,"10,64,453","10,64,453",485,"4,52,955","2,10,000",0,"69,093",0,"7,765","4,502","62,972","4,71,016","19,28,88,938","1,26,68,376","55,71,90,400","75,00,79,338","4,41,30,00,000",1.1
1980,Mideast,"1,81,143","24,29,312","40,84,171","1,93,984","39,13,986","1,08,02,596","29,54,430","1,96,962","1,31,308","1,25,703","34,08,403","17,32,18,873","4,82,09,839","6,68,250",0,"11,48,480","1,750","2,06,830","22,34,54,022",0,0,"9,566","9,566","30,500","31,300","3,800",0,"3,55,901",0,0,0,"3,000","33,71,320","2,35,999","22,92,593","24,37,63,001","24,39,99,000","4,41,30,00,000",1.1
1980,West. Hem,"12,34,48,293","40,32,36,567","52,45,120","69,18,519","35,58,105","54,24,06,604","13,46,562","22,42,154","30,22,479","17,60,417","83,71,612","25,65,521","2,71,683",0,0,0,"9,255","3,74,831","32,21,290",0,0,"16,85,408","16,85,408",0,"15,80,032","9,064",0,"1,50,056","1,27,687",800,"3,600","95,19,133","15,76,665","3,58,46,456","67,19,573","57,53,71,524","60,20,26,000","4,41,30,00,000",1.1
1985,Africa,"5,10,04,398","7,33,86,870","1,90,54,140","1,75,19,220","6,76,94,251","22,86,58,879",0,0,0,"1,64,828","1,64,828","1,40,60,500",0,0,0,0,0,"11,18,32,184","12,58,92,684",0,0,"72,574","72,574",607,"14,63,736","37,537",0,"10,74,228",0,"49,895","9,691","43,652","6,96,85,451","21,49,016","31,41,222","43,02,94,984","43,24,44,000","4,83,40,00,000",1.1
1985,Asia,"4,02,05,810","7,96,53,394","26,56,902","52,29,835","4,72,78,573","17,50,24,514",0,0,0,"1,00,490","1,00,490","10,11,75,272","20,38,550",0,0,0,0,"21,00,59,512","31,32,73,334",0,"3,62,32,325","29,82,30,177","33,44,62,502","2,62,761","59,80,09,426","1,46,51,868","9,25,20,741","19,78,767","46,25,986","35,08,357","11,53,085","42,54,83,823","9,09,48,268","54,22,61,654","53,94,112","2,06,13,98,034","2,52,58,23,952","4,83,40,00,000",1.1
1985,Europe,"8,21,15,850","26,05,92,119","10,92,18,297","2,69,09,075","1,76,22,140","49,64,57,481",0,0,0,"43,64,409","43,64,409",0,0,0,0,0,0,"4,21,50,125","4,21,50,125",0,0,"10,86,688","10,86,688",523,"4,74,973","2,17,500",0,"72,559",0,"9,648","6,251","89,957","7,13,756","21,05,77,941","1,32,54,594","55,88,98,464","76,94,76,405","4,83,40,00,000",1.1
1985,Mideast,"2,05,699","26,14,480","47,72,352","2,14,410","33,80,557","1,11,87,498","31,65,480","2,11,032","1,40,688","1,13,374","36,30,574","20,01,74,588","6,02,95,362","8,99,500",0,"12,02,490",0,"2,58,440","26,28,30,380",0,0,"35,000","35,000",0,"82,000","15,000",0,"7,950",0,0,0,"9,000","42,65,733","22,000","34,43,865","28,55,07,000","28,55,29,000","4,83,40,00,000",1.1
1985,West. Hem,"13,15,29,564","44,90,70,083","57,33,362","67,79,340","24,78,330","59,55,90,679","14,14,994","22,55,910","31,79,436","16,72,354","85,22,694","23,78,204","3,19,464",0,0,0,0,"2,84,400","29,82,068",0,0,"20,13,925","20,13,925",0,"15,92,400",0,0,"46,920","1,950",0,0,"1,00,02,600","4,53,731","3,31,85,698","1,11,39,356","63,23,46,323","65,57,92,000","4,83,40,00,000",1.1
1990,Africa,"6,41,90,743","8,62,30,560","2,13,45,712","2,45,30,704","6,91,95,730","26,54,93,449",0,0,0,"1,42,152","1,42,152","1,90,06,292","55,294",0,0,0,0,"11,63,52,402","13,54,13,988",0,0,"1,00,263","1,00,263",720,"17,62,136","44,358",0,"11,50,689",0,"57,010","11,306","57,936","7,38,43,670","28,96,489","28,48,834","48,09,26,511","48,38,23,000","5,31,30,00,000",1.1
1990,Asia,"5,74,40,648","9,72,13,932","32,44,879","48,69,140","5,98,02,501","22,25,71,100",0,0,0,"1,04,493","1,04,493","27,03,17,060","42,64,900",0,0,0,0,"23,42,13,938","50,87,95,898",0,"3,93,03,150","33,20,95,860","37,13,99,010","3,14,540","65,60,18,252","1,86,21,706","9,45,46,096","23,01,416","54,60,945","38,09,813","12,79,073","45,91,67,251","10,34,39,157","56,13,64,124","82,98,871","2,45,61,27,621","2,93,78,44,992","5,31,30,00,000",1.1
1990,Europe,"10,44,82,885","28,81,30,151","10,80,99,811","2,61,46,960","2,07,67,737","54,76,27,544",0,0,0,"40,94,416","40,94,416",0,0,0,0,0,0,"4,36,30,843","4,36,30,843",0,0,"12,60,132","12,60,132",610,"5,45,390","2,28,000",0,"1,00,313",0,"11,531","9,900","2,43,791","9,70,327","23,60,76,477","1,11,43,445","60,98,66,242","84,59,42,719","5,31,30,00,000",1.1
1990,Mideast,"8,18,833","49,10,719","77,44,332","3,25,884","22,72,383","1,60,72,151","33,50,310","1,84,083","1,47,266","64,729","37,46,388","22,48,29,822","7,37,87,108","10,95,087",0,"91,23,315",0,"1,20,000","30,89,55,332",0,0,"1,14,686","1,14,686","5,00,030","3,18,199","48,899",0,"2,24,304",0,0,0,"28,966","32,76,509","16,41,499","30,27,037","33,63,12,501","33,79,54,000","5,31,30,00,000",1.1
1990,West. Hem,"16,48,39,479","45,20,42,394","75,36,184","80,81,365","1,08,17,553","64,33,16,975","10,45,005","17,42,000","23,10,987","16,84,106","67,82,098","22,44,386","3,00,371",0,0,0,0,"3,39,500","28,84,257",0,0,"23,73,664","23,73,664","62,501","12,05,851","2,58,517","61,724","12,88,261","4,23,888","6,410",0,"97,01,954","6,52,668","3,62,92,691","1,09,63,922","67,99,82,690","70,71,06,969","5,31,30,00,000",1.1
1995,Africa,"7,99,05,787","10,51,18,187","2,40,93,088","2,91,67,586","7,65,05,476","31,47,90,124",0,0,0,"1,21,360","1,21,360","2,09,99,665","1,00,790",0,0,0,0,"14,24,95,298","16,35,95,753",0,0,"66,300","66,300",782,"13,17,227","40,993",0,"12,46,159",0,"61,627",0,"48,635","7,49,18,182","50,92,209","43,58,649","56,05,65,791","56,56,58,000","5,67,00,00,000",1.1
1995,Asia,"6,61,84,385","10,92,55,711","1,12,65,805","53,17,003","6,77,56,209","25,97,79,112",0,0,0,"1,95,111","1,95,111","44,55,29,796","2,52,90,656",0,0,0,"2,00,000","13,51,47,937","60,61,68,389",0,"4,12,23,800","36,69,85,753","40,82,09,553","2,47,242","71,73,65,785","1,84,92,938","9,60,76,062","24,35,313","62,83,673","40,14,448","12,23,947","49,21,35,244","11,22,40,465","57,42,22,830","1,15,49,727","2,73,64,17,009","3,22,84,25,512","5,67,00,00,000",1.1
1995,Europe,"7,06,85,728","25,89,50,188","13,17,64,854","2,62,30,600","2,43,75,882","51,20,07,252",0,0,0,"25,65,349","25,65,349","37,84,461","47,47,438",0,0,0,0,"3,30,10,394","4,15,42,293",0,0,"14,97,063","14,97,063",731,"6,99,215","2,94,718",0,"1,29,783",0,"13,413","9,562","3,02,461","12,32,015","17,61,81,859","94,76,286","56,97,70,141","74,59,52,000","5,67,00,00,000",1.1
1995,Mideast,"10,11,208","52,02,572","83,72,389","4,17,230","20,20,163","1,70,23,562","41,40,045","2,27,475","1,81,980","88,874","46,38,374","24,12,59,390","8,61,31,745","12,29,556",0,"1,18,24,580",0,"2,50,400","34,06,95,671",0,0,0,0,"4,72,500","4,791","1,166",0,"2,78,675",0,0,0,0,"35,34,249","3,23,129","71,43,883","37,37,92,871","37,41,16,000","5,67,00,00,000",1.1
1995,West. Hem,"16,77,22,189","48,40,88,201","73,64,578","79,48,471","1,46,91,480","68,18,14,919","10,03,301","16,72,940","22,10,662","16,65,209","65,52,112","22,46,832","3,03,545",0,0,0,0,"4,38,123","29,88,500",0,0,"21,82,414","21,82,414","7,65,727","14,81,887","2,45,269","60,945","7,57,649","2,37,633","6,684","40,478","1,05,33,280","9,81,414","4,64,60,699","93,75,141","71,80,24,052","75,49,90,021","5,67,00,00,000",1.1
2000,Africa,"9,34,03,462","11,97,34,890","2,82,07,100","3,25,21,170","6,28,90,027","33,67,56,649",0,0,0,"1,04,482","1,04,482","17,87,49,834","95,45,726",0,0,0,0,"2,07,762","18,85,03,322",0,0,"1,42,869","1,42,869",845,"19,02,086","53,080",0,"10,83,236",0,"69,013",0,"77,232","7,86,07,573","58,09,663","58,54,951","61,31,55,338","61,89,65,000","6,07,70,00,000",1.1
2000,Asia,"9,93,13,991","11,15,94,438","1,03,33,466","51,66,213","3,04,83,936","25,68,92,044",0,0,0,"1,48,450","1,48,450","62,20,88,650","5,17,36,919",0,0,0,"5,00,000","2,33,64,060","69,76,89,629","41,30,422","11,32,40,351","26,43,39,459","38,17,10,232","84,816","87,00,77,984","1,93,56,059","9,70,27,500","21,48,598","97,49,928","42,31,099","37,35,637","54,90,45,116","7,77,05,808","58,47,48,329","58,59,144","2,97,54,62,044","3,48,84,05,040","6,07,70,00,000",1.1
2000,Europe,"6,93,56,298","25,21,70,341","20,94,25,163","2,27,51,244","1,74,04,399","57,11,07,445",0,0,0,"22,43,767","22,43,767","3,65,89,221","52,01,755",0,0,0,0,"59,38,865","4,77,29,841",0,0,"30,99,355","30,99,355","4,782","7,64,336","3,96,383",0,"77,628",36,"15,296",0,"1,29,943","78,139","11,37,29,094","62,20,838","63,18,67,789","74,55,96,883","6,07,70,00,000",1.1
2000,Mideast,"13,20,096","50,09,970","91,24,040","9,467","12,15,280","1,66,78,853","44,71,831","2,45,705","1,96,564","41,977","49,56,077","27,50,58,426","8,70,53,540","13,60,367",0,"1,25,68,650","36,000",0,"37,60,76,983",0,0,"88,823","88,823","4,45,000","11,41,268","15,420",0,"1,42,471",0,0,0,0,"58,98,000","17,75,785","25,63,620","40,80,06,515","40,97,82,300","6,07,70,00,000",1.1
2000,West. Hem,"18,02,16,747","49,01,24,294","72,66,522","78,43,167","2,40,37,463","70,94,88,193","9,61,597","16,03,882","21,10,338","13,17,719","59,93,536","25,01,568","3,34,752",0,0,0,0,"12,12,145","40,48,465","8,08,358",0,"24,06,419","32,14,777","14,68,955","17,20,060","2,32,021","1,61,765","6,28,141","50,238","6,959","81,105","1,35,92,264","44,57,945","7,63,49,251","1,30,43,974","75,81,88,398","82,30,33,224","6,07,70,00,000",1.1
2005,Africa,"11,36,62,262","14,32,40,680","3,27,51,099","3,43,99,221","7,29,48,696","39,70,01,958",0,0,0,"1,05,776","1,05,776","20,21,18,074","1,07,58,965",0,0,0,0,"2,48,681","21,31,25,720",0,0,"1,82,161","1,82,161",838,"21,18,924","61,177",0,"10,82,939",31,"73,053","10,004","84,834","7,90,35,014","71,78,005","35,62,566","69,64,44,995","70,36,23,000","6,43,60,00,000",1.1
2005,Asia,"10,29,10,261","12,13,26,959","97,04,939","54,92,661","3,58,40,274","27,52,75,093",0,0,0,"1,27,286","1,27,286","65,92,70,884","5,33,99,804",0,0,0,"5,43,367","3,62,07,787","74,94,21,842","1,32,40,607","15,68,29,163","29,60,31,348","46,61,01,118","91,049","94,05,99,251","2,09,40,691","10,70,29,655","23,06,979","1,22,28,350","45,74,392","37,51,375","55,58,45,044","7,92,17,233","52,43,04,023","1,15,52,004","3,22,90,61,362","3,66,61,55,352","6,43,60,00,000",1.1
2005,Europe,"6,89,77,106","24,95,39,088","19,51,64,244","2,13,78,217","2,42,78,988","55,93,37,643",0,0,0,"21,23,463","21,23,463","3,99,33,303","66,91,863",0,0,"4,10,000",0,"41,95,351","5,12,30,517",0,0,"30,59,535","30,59,535","5,105","9,96,551","4,12,726",0,"61,087","2,178","17,648",0,"4,26,992","1,86,360","11,49,77,698","1,19,24,097","62,97,83,902","74,47,61,600","6,43,60,00,000",1.1
2005,Mideast,"17,98,732","48,61,634","97,73,642","10,740","17,92,749","1,82,37,497","52,22,943","31,654","21,102","33,726","53,09,425","29,73,61,142","9,36,82,310","14,15,383",0,"1,55,83,460",0,"1,12,400","40,81,54,695",0,0,"1,05,908","1,05,908","19,500","14,54,979","17,500",0,"1,52,950",0,0,0,0,"70,79,400","26,52,435","27,74,564","44,33,06,418","44,59,58,853","6,43,60,00,000",1.1
2005,West. Hem,"20,35,94,477","49,49,15,555","77,30,972","77,56,664","2,68,81,608","74,08,79,276","10,48,228","17,47,197","23,21,199","14,87,754","66,04,378","29,44,529","3,86,845",0,0,0,0,"11,90,198","45,21,572","8,58,297",0,"38,10,102","46,68,399","15,59,581","21,91,657","4,37,055","1,91,600","7,05,878","64,811","79,864","89,362","1,29,79,998","58,30,711","9,47,09,150","92,31,306","79,00,35,448","87,51,96,370","6,43,60,00,000",1.1
2010,Africa,"14,37,52,568","16,59,43,467","3,82,54,839","3,87,01,490","7,33,53,476","46,00,05,841",0,0,0,"1,06,121","1,06,121","23,40,59,830","1,20,52,097",0,0,0,0,"2,92,545","24,64,04,472",0,0,"2,24,181","2,24,181",951,"23,47,387","74,969",0,"11,83,246",62,"91,857","20,009","97,374","7,76,15,288","88,89,456","24,31,187","79,06,02,945","79,94,92,401","6,83,90,00,000",1.1
2010,Asia,"10,97,70,301","12,97,66,537","96,90,172","50,59,090","3,36,35,763","28,79,21,863",0,0,0,"1,23,356","1,23,356","70,70,62,171","5,98,50,462",0,0,0,"5,00,000","3,73,44,203","80,47,56,836","1,40,43,532","16,56,12,816","29,92,64,578","47,89,20,926","94,666","1,00,88,30,303","2,25,09,620","10,80,29,951","25,80,737","98,60,014","49,15,980","38,73,075","57,89,13,544","8,11,46,609","54,14,53,380","74,79,196","3,39,99,56,676","3,85,75,53,138","6,83,90,00,000",1.1
2010,Europe,"6,57,17,165","24,42,46,870","20,15,89,183","1,99,97,856","2,61,26,910","55,76,77,984",0,0,0,"13,78,063","13,78,063","3,60,50,392","86,09,112",0,0,"5,00,000",0,"60,63,207","5,12,22,711",0,0,"15,56,416","15,56,416","4,404","11,25,071","4,90,470",0,"48,120","4,320","20,000",0,"5,48,795","2,32,716","13,08,20,732","89,37,855","62,32,46,925","75,40,67,657","6,83,90,00,000",1.1
2010,Mideast,"21,15,645","51,26,980","1,09,01,720","16,767","16,52,685","1,98,13,797","55,17,567","33,439","22,293","31,200","56,04,499","34,09,53,009","10,22,99,489","16,06,195",0,"36,08,974",0,"1,52,400","44,86,20,067",0,0,"1,42,503","1,42,503",0,"22,84,384","19,000",0,"3,62,367",0,0,0,0,"80,25,046","36,12,800","28,08,574","48,76,80,237","49,12,93,037","6,83,90,00,000",1.1
2010,West. Hem,"23,64,74,406","50,46,25,969","83,47,937","79,95,216","2,90,49,940","78,64,93,468","11,19,839","18,66,128","24,87,367","13,37,936","68,11,270","30,79,377","4,07,770",0,0,0,0,"9,91,533","44,78,680","9,08,236",0,"34,94,675","44,02,911","16,51,017","27,55,503","6,82,441","3,13,241","6,65,592","15,481","87,304","94,453","1,09,70,832","72,44,680","10,35,47,575","49,16,120","83,15,82,993","92,82,09,348","6,83,90,00,000",1.1
